103,'Junglesound Gold CD [Disc 1 Mixed By Pendulum / Disc 2 Unmixed]','Breakbeat Kaos Present','Breakbeat Kaos','BBK001GCD','Adam F','Original Jungle Sound [Switch Mix]','8A',0
66,'System Check [Generation Dub RMX] / Lost Bass [Brockie & Ed Solo RMX]','Brockie & Ed Solo','Undiluted','UD012','Brockie & Ed Solo','Lost Bass [Brockie & Ed Solo RMX]','7B',176
67,'System Check [Generation Dub RMX] / Lost Bass [Brockie & Ed Solo RMX]','Brockie & Ed Solo','Undiluted','UD012','Brockie & Ed Solo','System Check [Generation Dub RMX]','7B',175
48,'Dumpling Riddim / Disco','Chase & Status','Ram Records','RAMM64','Chase & Status','Disco','6A',175
49,'Dumpling Riddim / Disco','Chase & Status','Ram Records','RAMM64','Chase & Status','Dumpling Riddim','6A',181
10,'Take Me Away / Judgement [Informer]','Chase & Status','Ram Records','RAMM72','Chase & Status','Judgement [Informer]','11A',173
62,'Take Me Away / Judgement [Informer]','Chase & Status','Ram Records','RAMM72','Chase & Status','Take Me Away','7A',175
16,'Against All Odds [Xample RMX] / [Dubstep RMX]','Chase & Status Feat. Kano','Ram Records','RAMM76','Chase & Status Feat. Kano','Against All Odds [Xample RMX]','12B',174
69,'Against All Odds [Xample RMX] / [Dubstep RMX]','Chase & Status Feat. Kano','Ram Records','RAMM76','Chase & Status Feat. Kano','[Dubstep RMX]','8A',140
18,'Pieces / Eastern Jam','Chase & Status Feat. Plan B / Chase & Status','Ram Records','RAMM73B','Chase & Status Feat. Plan B','Pieces','1A',176
87,'Pieces / Eastern Jam','Chase & Status Feat. Plan B / Chase & Status','Ram Records','RAMM73B','Chase & Status','Eastern Jam','9A',140
97,'Slippery Slopes / Nasty Breaks','Clipz','Full Cycle','FCY075','Clipz','Nasty Breaks',,0
105,'Slippery Slopes / Nasty Breaks','Clipz','Full Cycle','FCY075','Clipz','Slippery Slopes',' ',0
28,'Cocoa / Jiggy','Clipz / Clipz Feat. MC Sweetpea','Full Cycle','FCY064','Clipz Feat. MC Sweetpea','Jiggy','3A',175
74,'Cocoa / Jiggy','Clipz / Clipz Feat. MC Sweetpea','Full Cycle','FCY064','Clipz','Cocoa','8A',175
8,'Morning Light [Klute RMX] / Dont Tell Me','Concord Dawn','Timeless Recordings','TYME026','Concord Dawn','Morning Light [Klute RMX]','11A',174
39,'Morning Light [Klute RMX] / Dont Tell Me','Concord Dawn','Timeless Recordings','TYME026','Concord Dawn','Dont Tell Me','5A',175
24,'Police In Helicopter [Original Sess] / Yes Selecta','Congo Natty','Congo Natty','CONGONATTY3','Congo Natty','Police In Helicopter [Original Sess]','2A',171
88,'Police In Helicopter [Original Sess] / Yes Selecta','Congo Natty','Congo Natty','CONGONATTY3','Congo Natty','Yes Selectah','9A',166
23,'Off The Rails / Azur Eyes','D Kay & Verse / Verse','Crunch Recordings','CRUNCH001','Verse','Azur Eyes','2A',174
63,'Off The Rails / Azur Eyes','D Kay & Verse / Verse','Crunch Recordings','CRUNCH001','D Kay & Verse','Off The Rails','7B',174
101,'Dark Soldier [Back In the Day Mix] / Londons Most wanted [Girls Mix]','Dark Soldier','Dread Recordings','DREADLP03IJ','Dark Soldier','Dark Soldier [Back In the day Mix]','8A',0
102,'Dark Soldier [Back In the Day Mix] / Londons Most wanted [Girls Mix]','Dark Soldier','Dread Recordings','DREADLP03IJ','Dark Soldier','Londons Most wanted [Girls Mix]','6B',0
95,'Quickdraw / 3-in-1','Digital & Spirit','Phantom Audio','PHAX003',,,,0
96,'Quickdraw / 3-in-1','Digital & Spirit','Phantom Audio','PHAX003',,,,0
99,'Who You EP','Dillinja Presents','Valve Recordings','VLV023EP','Dillinja','Gangbang','11A',0
100,'Who You EP','Dillinja Presents','Valve Recordings','VLV023EP','Dillinja','Who You [Oi]','8B',0
3,'No Test / Old Times','Distorted Minds','Ganja Records','RPG016','Distorted Minds','No Test','10A',175
78,'No Test / Old Times','Distorted Minds','Ganja Records','RPG016','Distorted Minds','Old Times','8A',180
1,'The Promise / Fight Club [TC RMX] - White','Distorted Minds','D-Style Recordings','DSR006','Distorted Minds','The Promise',' ',0
98,'The Promise / Fight Club [TC RMX] - White','Distorted Minds','D-Style Recordings','DSR006','Distorted Minds','Fight Club [TC RMX]',,0
94,'Ouch! / Another Fight','Distorted Minds Feat. MC Foxy / Distorted Minds','D-Style LTD','DSRLTD002','Distorted Minds','Another Fight',,0
110,'Ouch! / Another Fight','Distorted Minds Feat. MC Foxy / Distorted Minds','D-Style LTD','DSRLTD002','Distorted Minds Feat. MC Foxy','Ouch!',' ',0
104,'Daleks / Rok Demon - [MISPRESS] - [PROMO] - White','DJ Fresh','Breakbeat Kaos','BBK1MISPRESS','DJ Fresh','Rok Demon','3A',0
50,'Floodlight / Tomb Raider','DJ Fresh','WWW.DOGSONACID.COM','DOA001C','DJ Fresh','Floodlight','6A',176
51,'Floodlight / Tomb Raider','DJ Fresh','WWW.DOGSONACID.COM','DOA001C','DJ Fresh','Tomb Raider','6A',176
60,'Machete Bass EP','DJ Hazard','Playaz','PLAYAZ004','DJ Hazard','Cowards Beware','7A',175
61,'Machete Bass EP','DJ Hazard','Playaz','PLAYAZ004','DJ Hazard','Trouble Maker','7A',180
76,'Machete Bass EP','DJ Hazard','Playaz','PLAYAZ004','DJ Hazard','Killer Dont Die','8A',175
77,'Machete Bass EP','DJ Hazard','Playaz','PLAYAZ004','DJ Hazard','Machete','8A',179
34,'Mr Happy / Super Drunk','DJ Hazard & Distorted Minds','Playaz','PLAYAZ002','DJ Hazard & Distorted Minds','Mr Happy','4A',174
53,'Mr Happy / Super Drunk','DJ Hazard & Distorted Minds','Playaz','PLAYAZ002','DJ Hazard & Distorted Minds','Super Drunk','6A',180
92,'Crank / Backing Time','DJ Phantasy, Nicky Blackmarket & MC Skibadee','Easy DJ','EASYDJ038','DJ Phantasy, Nicky Blackmarket & MC Skibadee','Backing Time',,0
108,'Crank / Backing Time','DJ Phantasy, Nicky Blackmarket & MC Skibadee','Easy DJ','EASYDJ038','DJ Phantasy, Nicky Blackmarket & MC Skibadee','Crank',' ',0
46,'Cold Turkey / Stories Of The Future','Drumsound & Bassline Smith','Technique Recordings','TECH040','Drumsound & Bassline Smith','Cold Turkey','6A',175
47,'Cold Turkey / Stories Of The Future','Drumsound & Bassline Smith','Technique Recordings','TECH040','Drumsound & Bassline Smith','Stories Of The Future','6A',172
6,'Harder / It Came From Mars','Drumsound & Bassline Smith','Technique Recordings','TECH043','Drumsound & Bassline Smith','It Came From Mars','10B',177
52,'Harder / It Came From Mars','Drumsound & Bassline Smith','Technique Recordings','TECH043','Drumsound & Bassline Smith','Harder','6A',177
2,'Let The Good Times Roll / Go','Drumsound & Bassline Smith','Bingo Recordings','BINGO067','Drumsound & Bassline Smith','Let The Good Times Roll','10A',176
